0,Q1_86,1734.8269996643066,Jan-1986
1,Q2_86,2244.9609985351562,Apr-1986
2,Q3_86,2533.8049926757812,Jul-1986
3,Q4_86,2154.9629974365234,Oct-1986
4,Q1_87,1547.8189964294434,Jan-1987
5,Q2_87,2104.411994934082,Apr-1987
6,Q3_87,2014.3629989624023,Jul-1987
7,Q4_87,1991.746997833252,Oct-1987
8,Q1_88,1869.0499992370605,Jan-1988
9,Q2_88,2313.631996154785,Apr-1988
10,Q3_88,2128.319999694824,Jul-1988
11,Q4_88,2026.8289985656738,Oct-1988
12,Q1_89,1910.6039962768555,Jan-1989
13,Q2_89,2331.164993286133,Apr-1989
14,Q3_89,2206.5499954223633,Jul-1989
15,Q4_89,2173.9679946899414,Oct-1989
16,Q1_90,2148.2779998779297,Jan-1990
17,Q2_90,2739.3079986572266,Apr-1990
18,Q3_90,2792.7539978027344,Jul-1990
19,Q4_90,2556.009994506836,Oct-1990
20,Q1_91,2480.9739990234375,Jan-1991
21,Q2_91,3039.522994995117,Apr-1991
22,Q3_91,3172.115997314453,Jul-1991
23,Q4_91,2879.0009994506836,Oct-1991
24,Q1_92,2772.0,Jan-1992
25,Q2_92,3550.0,Apr-1992
26,Q3_92,3508.0,Jul-1992
27,Q4_92,3243.859992980957,Oct-1992
28,Q1_93,3056.0,Jan-1993
29,Q2_93,3899.0,Apr-1993
